user_id,meal_id,note
1,1,4
1,4,3
1,9,4
1,6,5
1,10,3
1,8,3
1,44,4
1,19,3
1,29,2
1,33,3
2,18,3
2,23,3
2,19,4
2,21,2
2,16,2
2,20,3
2,49,1
2,47,3
2,24,2
2,11,1
3,46,5
3,45,3
3,47,4
3,6,1
3,15,2
3,8,2
3,30,1
4,2,4
4,11,3
4,3,3
4,8,3
4,5,5
4,9,3
4,33,1
4,42,3
4,46,1
4,31,2
5,43,2
5,41,2
5,44,4
5,40,4
5,42,4
5,5,2
5,18,2
5,27,1
5,22,2
6,47,3
6,46,4
6,45,4
6,19,1
6,50,3
6,20,2
6,38,2
7,44,4
7,43,4
7,40,4
7,41,3
7,42,3
7,23,3
7,22,3
7,36,2
7,35,2
8,36,3
8,37,3
8,35,4
8,39,5
8,31,3
8,38,4
8,47,3
8,25,2
8,15,3
8,27,4
9,48,3
9,49,5
9,50,1
9,46,3
9,25,2
9,43,2
9,42,2
10,3,2
10,8,3
10,1,4
10,15,5
10,9,3
10,10,3
10,37,2
10,22,3
10,44,3
10,49,2
11,46,4
11,45,4
11,47,4
11,27,2
11,42,2
11,10,2
11,5,1
12,8,4
12,13,4
12,5,4
12,6,3
12,10,2
12,7,3
12,21,2
12,37,2
12,50,2
12,40,3
13,21,5
13,23,4
13,22,4
13,19,3
13,16,2
13,18,3
13,5,2
13,24,4
13,49,2
13,27,3
14,4,3
14,12,3
14,2,4
14,7,4
14,13,4
14,11,3
14,44,3
14,26,1
14,35,3
14,17,4
15,30,3
15,35,3
15,39,4
15,32,3
15,36,2
15,38,4
15,28,1
15,10,3
15,16,2
15,44,4
16,22,3
16,20,3
16,21,4
16,17,3
16,23,4
16,16,5
16,6,1
16,48,2
16,33,3
16,24,3
17,46,3
17,45,2
17,47,4
17,30,3
17,41,3
17,17,3
17,43,2
18,30,4
18,37,4
18,34,3
18,35,5
18,38,4
18,31,3
18,5,3
18,29,2
18,23,3
18,48,3
19,26,3
19,27,4
19,29,4
19,25,4
19,28,5
19,24,3
19,31,2
19,37,2
19,7,2
19,16,2
20,36,4
